DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480S1;P7480S1A1;P7480S3;P7480S3A1;P7480S4;P7480S4A1;P7480S5;P7480S5A1;P7480S6;P7480S6A1;P7480S7;P7480S7A1;P7480S8;P7480S8A1;P7480S9;P7480S9A1;P7480S10;P7480S10A1;P7480S11;P7480S11A1;AREA;MES;DPTO;fex_c_2011
5080362;1;1;1;90;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;753,274266569756
5080362;1;2;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;753,274266569756
5080362;1;3;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;753,274266569756
5080362;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;753,274266569756
5080363;1;1;1;90;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1322,44452097731
5080363;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1322,44452097731
5080363;1;3;1;90;2; ;1;12;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1322,44452097731
5080363;1;5;1;90;2; ;1;10;1;30;1;10;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1322,44452097731
5080364;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1666,47810376259
5080364;1;2;1;90;2; ;1;28;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1666,47810376259
5080364;1;3;1;90;2; ;1;1;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1666,47810376259
5080364;1;6;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1666,47810376259
5080364;1;7;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1666,47810376259
5080365;1;1;1;90;2; ;1;26;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;903,791877906956
5080365;1;2;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;903,791877906956
5080366;1;1;1;90;2; ;1;4;2; ;1;11;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1299,84968949148
5080366;1;3;1;90;2; ;1;15;2; ;1;22;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1299,84968949148
5080366;1;4;1;90;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1299,84968949148
5080366;1;5;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1299,84968949148
5080367;1;1;1;90;2; ;1;8;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1369,35088842137
5080367;1;2;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1369,35088842137
5080367;1;3;1;90;2; ;1;12;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1369,35088842137
5080368;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;937,790200962941
5080368;1;2;1;90;2; ;1;24;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;937,790200962941
5080368;1;3;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;937,790200962941
5080369;1;1;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1207,39064978871
5080370;1;1;1;90;2; ;1;21;2; ;2; ;1;28;2; ;1;4;2; ;2; ;1;8;05;12;05;1092,4594353456
5080370;1;2;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1092,4594353456
5080370;1;3;1;90;2; ;1;18;2; ;2; ;1;7;2; ;2; ;2; ;2; ;2; ;05;12;05;1092,4594353456
5080371;1;1;1;90;2; ;1;2;2; ;1;40;2; ;2; ;1;2;2; ;2; ;2; ;05;12;05;1521,90531244682
5080371;1;2;1;90;2; ;1;5;2; ;1;18;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1521,90531244682
5080372;1;1;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1159,60156505512
5080372;1;2;1;90;2; ;1;42;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1159,60156505512
5080372;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1159,60156505512
5080372;1;4;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1159,60156505512
5080373;1;1;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1207,39064978871
5080374;1;1;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;2;05;12;05;979,038297071638
5080374;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;979,038297071638
5080374;1;3;1;90;2; ;1;28;2; ;2; ;1;49;2; ;2; ;2; ;2; ;2; ;05;12;05;979,038297071638
5080374;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;979,038297071638
5080375;1;1;1;90;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;937,162842083322
5080375;1;2;1;90;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;937,162842083322
5080376;1;1;1;90;2; ;1;25;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;969,978868853507
5080376;1;2;1;90;2; ;1;3;2; ;2; ;2; ;2; ;1;1;2; ;2; ;2; ;05;12;05;969,978868853507
5080376;1;3;1;90;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;969,978868853507
5080377;1;1;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;586,696163366362
5080377;1;2;1;90;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;586,696163366362
5080377;1;3;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;586,696163366362
5080377;1;4;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;586,696163366362
5080377;1;5;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;586,696163366362
5080377;1;6;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;586,696163366362
5080377;1;7;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;586,696163366362
5080377;1;8;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;586,696163366362
5080377;1;9;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;586,696163366362
5080378;1;1;1;90;2; ;1;25;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;2748,31614246705
5080378;1;2;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;2748,31614246705
5080378;1;3;1;90;2; ;1;2;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;2748,31614246705
5080379;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1277,82988614124
5080379;1;2;1;90;2; ;1;40;2; ;2; ;2; ;1;7;2; ;2; ;2; ;2; ;05;12;05;1277,82988614124
5080379;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1277,82988614124
5080380;1;1;1;90;2; ;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;2874,09591107414
5080380;1;2;1;90;2; ;1;21;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;2874,09591107414
5080380;1;3;1;90;2; ;1;10;2; ;1;17;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;2874,09591107414
5080381;1;1;1;90;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;2521,42428879115
5080381;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;2521,42428879115
5080382;1;1;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;785,563556820838
5080382;1;2;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;2;05;12;05;785,563556820838
5080382;1;3;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;785,563556820838
5080383;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1056,01852204906
5080383;1;2;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1056,01852204906
5080384;1;1;1;90;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1207,39064978871
5080385;1;1;1;90;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;801,446451319804
5080385;1;2;1;90;2; ;1;36;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;801,446451319804
5080385;1;3;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;801,446451319804
5080385;1;4;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;801,446451319804
5080385;1;5;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;801,446451319804
5080386;1;1;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1206,20835350291
5080387;1;1;1;90;2; ;1;25;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1276,64758985543
5080387;1;2;1;90;2; ;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1276,64758985543
5080387;1;3;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1276,64758985543
5080388;1;1;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1207,39064978871
5080389;1;1;1;90;2; ;1;18;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;937,162842083322
5080389;1;2;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;937,162842083322
5080390;1;1;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;2119,28681715083
5080390;1;2;1;90;2; ;1;1;2; ;2; ;2; ;2; ;1;30;2; ;2; ;2; ;05;12;05;2119,28681715083
5080391;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;12;2; ;2; ;05;12;05;936,607904677141
5080391;1;2;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;936,607904677141
5080391;1;3;1;90;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;936,607904677141
5080392;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1243,83156308525
5080392;1;2;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1243,83156308525
5080393;1;1;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;2187,2834632628
5080393;1;2;1;90;2; ;1;40;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;2187,2834632628
5080393;1;3;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;2187,2834632628
5080394;1;1;1;90;2; ;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;2112,03704409812
5080394;1;2;1;90;2; ;1;2;1;15;2; ;1;20;2; ;2; ;2; ;2; ;2; ;05;12;05;2112,03704409812
5080395;1;1;1;90;2; ;1;25;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1525,53019897317
5080395;1;2;1;90;2; ;2; ;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1525,53019897317
5080396;1;1;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1093,6417316314
5080396;1;2;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1093,6417316314
5080396;1;3;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1093,6417316314
5080397;1;1;1;90;2; ;1;16;2; ;2; ;2; ;2; ;1;4;2; ;2; ;2; ;05;12;05;2490,0277187421
5080397;1;2;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;2490,0277187421
5080402;1;1;1;90;2; ;2; ;2; ;1;12;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;3975,58420568916
5080402;1;2;1;90;2; ;1;20;2; ;1;24;1;13;2; ;2; ;2; ;2; ;2; ;05;12;05;3975,58420568916
5080403;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1809,29278861881
5080403;1;2;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1809,29278861881
5080403;1;3;1;90;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1809,29278861881
5080404;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1007,60207843585
5080404;1;2;1;90;2; ;1;40;2; ;1;12;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1007,60207843585
5080404;1;3;1;90;2; ;1;12;2; ;1;16;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1007,60207843585
5080404;1;4;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1007,60207843585
5080405;1;1;1;90;2; ;1;21;2; ;2; ;2; ;2; ;1;3;2; ;2; ;2; ;05;12;05;2422,03107263013
5080406;1;1;1;90;2; ;1;28;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1778,74751469946
5080406;1;2;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;1;30;2; ;2; ;05;12;05;1778,74751469946
5080406;1;3;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1778,74751469946
5080406;1;4;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1778,74751469946
5080406;1;5;1;90;2; ;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1778,74751469946
5080407;1;1;1;90;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1243,83156308525
5080407;1;2;1;90;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;5;05;12;05;1243,83156308525
5080409;1;1;1;90;2; ;1;20;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;700,706199911087
5080409;1;2;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;700,706199911087
5080409;1;3;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;700,706199911087
5080409;1;4;1;90;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;700,706199911087
5080410;1;1;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;970,934007616475
5080410;1;2;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;970,934007616475
5080410;1;3;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;970,934007616475
5080411;1;1;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;2662,30276149621
5080411;1;2;1;90;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;2662,30276149621
5080411;1;3;1;90;2; ;1;21;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;2662,30276149621
5080411;1;5;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;2662,30276149621
5080412;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;2930,81153348419
5080412;1;2;1;90;2; ;1;40;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;2930,81153348419
5080413;1;1;1;90;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1179,25251648935
5080413;1;2;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1179,25251648935
5080413;1;3;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1179,25251648935
5080414;1;1;1;90;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1022,02019899307
5080415;1;1;1;90;2; ;1;14;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;05;12;05;1260,71214439558
