DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4928951;1;5;1;70;05;108;48;1; ;2;108;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1700000;2; ;45;32;74;1;2;7411;06;05;1353,03030581248
4928954;1;4;1;70;05;8;48;1; ;2;4;1; ;9;2;5; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;59;59;25;1;1;2529;06;05;1198,88416090317
4928955;1;2;1;70;05;29;48;1; ;2;29;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;40;40;52;1;2;5233;06;05;920,54136409379
4928956;1;3;1;70;05;48;40;1; ;2;64;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;56;56;93;1;2;9301;06;05;925,486565103292
4928965;1;4;1;70;05;48;48;1; ;2;48;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828000;2; ;58;39;74;1;2;7413;06;05;1117,06700712302
4928972;1;3;1;70;05;48;48;1; ;2;48;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;828000;2; ;95;95;45;1;2;4521;06;05;1256,88940933169
4928984;1;3;1;70;05;20;48;1; ;2;104;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;34;33;74;1;2;7412;06;05;1012,20165119514
4928985;1;3;1;70;05;2;24;1; ;2;52;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;53;45;52;1;1;5239;06;05;1945,10771707407
4928991;1;5;1;70;05;24;48;1; ;2;24;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;95;95;45;1;2;4521;06;05;1341,39552292482
4929005;1;1;1;70;05;104;48;1; ;2;104;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;55;55;52;1;2;5239;06;05;516,752293233153
4929008;1;5;1;70;05;12;48;1; ;2;12;4; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;98;98;60;1;1;6031;06;05;1883,25394608099
4929008;1;6;1;70;05;11;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;828116; ; ;97; ; ;1;1; ;06;05;1883,25394608099
4929017;1;2;1;70;05;6;48;1; ;2;2;1; ;6;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;03;98;15;1;1;1530;06;05;1130,73125852272
4929027;1;3;1;70;05;2;48;1; ;2;4;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;800000;828116;2; ;45;45;52;1;1;5234;06;05;1132,96659715951
4929037;1;1;1;70;05;20;48;1; ;2;20;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;45;45;50;1;2;5030;06;05;868,566206242479
4929051;1;1;1;70;05;2;48;4; ;2;20;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;98;98;60;1;1;6031;06;05;1213,42049859509
4929056;1;2;1;70;05;1;24;1; ;2;52;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;210000;2; ;45;53;52;1;1;5221;06;05;1213,70224223717
4929058;1;1;1;70;05;3;48;1; ;2;3;1; ;7;2;3; ; ;1; ;1; ; ; ; ; ; ;2; ;828116;2; ;80;80;19;1;1;1929;06;05;460,270682046895
4929059;1;8;1;70;05;2;60;1; ;2;6;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;1;400000;828116;2; ;84;84;50;1;1;5020;06;05;1558,27838009712
4929063;1;4;1;70;05;2;48;1; ;2;2;4; ;1;2;9;POR COBERTURA UN MES; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;98;98;60;1;1;6022;06;05;1087,26687083509
4929072;1;1;1;70;05;32;48;1; ;2;32;1; ;2;1;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828000;1;4;55;55;70;1;2;7010;06;05;560,701427637825
4929072;1;2;1;70;05;5;48;1; ;2;24;1; ;3;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;828000;2; ;45;45;52;1;1;5239;06;05;560,701427637825
4929075;1;3;1;70;05;52;48;1; ;2;52;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;97;53;55;1;2;5521;06;05;1202,04223539519
4929075;1;4;1;70;05;52;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;828116; ; ;37; ; ;1;2; ;06;05;1202,04223539519
