DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011;AREA
4928951;1;5;1;70;1;108;48;1; ;2;108;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1700000;2; ;45;32;74;1;2;06;7411;05;1353,03030581248;05
4928954;1;4;1;70;1;8;48;1; ;2;4;1; ;9;2;5; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;59;59;25;1;1;06;2529;05;1198,88416090317;05
4928955;1;2;1;70;1;29;48;1; ;2;29;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;40;40;52;1;2;06;5233;05;920,54136409379;05
4928956;1;3;1;70;1;48;40;1; ;2;64;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;56;56;93;1;2;06;9301;05;925,486565103292;05
4928965;1;4;1;70;1;48;48;1; ;2;48;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828000;2; ;58;39;74;1;2;06;7413;05;1117,06700712302;05
4928972;1;3;1;70;1;48;48;1; ;2;48;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;828000;2; ;95;95;45;1;2;06;4521;05;1256,88940933169;05
4928984;1;3;1;70;1;20;48;1; ;2;104;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;34;33;74;1;2;06;7412;05;1012,20165119514;05
4928985;1;3;1;70;1;2;24;1; ;2;52;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;53;45;52;1;1;06;5239;05;1945,10771707407;05
4928991;1;5;1;70;1;24;48;1; ;2;24;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;95;95;45;1;2;06;4521;05;1341,39552292482;05
4929005;1;1;1;70;1;104;48;1; ;2;104;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;55;55;52;1;2;06;5239;05;516,752293233153;05
4929008;1;5;1;70;1;12;48;1; ;2;12;4; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;98;98;60;1;1;06;6031;05;1883,25394608099;05
4929008;1;6;1;70;1;11;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;828116; ; ;97; ; ;1;1;06; ;05;1883,25394608099;05
4929017;1;2;1;70;1;6;48;1; ;2;2;1; ;6;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;03;98;15;1;1;06;1530;05;1130,73125852272;05
4929027;1;3;1;70;1;2;48;1; ;2;4;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;800000;828116;2; ;45;45;52;1;1;06;5234;05;1132,96659715951;05
4929037;1;1;1;70;1;20;48;1; ;2;20;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;45;45;50;1;2;06;5030;05;868,566206242479;05
4929051;1;1;1;70;1;2;48;4; ;2;20;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;98;98;60;1;1;06;6031;05;1213,42049859509;05
4929056;1;2;1;70;1;1;24;1; ;2;52;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;210000;2; ;45;53;52;1;1;06;5221;05;1213,70224223717;05
4929058;1;1;1;70;1;3;48;1; ;2;3;1; ;7;2;3; ; ;1; ;1; ; ; ; ; ; ;2; ;828116;2; ;80;80;19;1;1;06;1929;05;460,270682046895;05
