DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;MES;FT;DPTO;fex_c_2011
4854431;1;1;1;50; ;1; ; ;1;4; ;2;2;2;2;1;10; ; ; ; ; ; ;03;1;76;2042,8526848881
4854431;1;2;1;50; ;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;76;2042,8526848881
4854432;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;76;1817,61786630315
4854432;1;2;1;50; ;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;76;1817,61786630315
4854433;1;1;1;50; ;1; ; ;1;2; ;1; ; ; ; ; ; ; ; ; ; ; ;03;1;76;2431,93464091841
4854433;1;2;1;50; ;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;76;2431,93464091841
4854433;1;3;1;50; ;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;76;2431,93464091841
4854434;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;76;2579,22199562446
4854434;1;2;1;50; ;1; ; ;2;4; ;2;2;2;2;1;6; ;2; ;2; ; ;03;1;76;2579,22199562446
4854434;1;3;1;50; ;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;76;2579,22199562446
4854434;1;4;1;50; ;1; ; ;2;6;OCIO;2;2;2;2;2; ; ; ; ; ; ; ;03;1;76;2579,22199562446
4854435;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;76;2872,16897264348
4854435;1;2;1;50; ;1; ; ;1;3; ;2;1; ; ; ; ; ; ; ; ; ; ;03;1;76;2872,16897264348
4854435;1;3;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;76;2872,16897264348
4854435;1;4;1;50; ;1; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;76;2872,16897264348
4854435;1;5;1;50; ;1; ; ;5;6;REALIZANDO CURSO DE ACTUALIZACION DE ENFERMERIA;2;2;2;2;2; ; ; ; ; ; ; ;03;1;76;2872,16897264348
4854435;1;6;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;76;2872,16897264348
4854435;1;7;1;50; ;1;1; ;7;2; ;2;2;2;1; ; ; ; ; ; ; ;1;03;1;76;2872,16897264348
4854436;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;76;2543,31108133576
4854436;1;2;1;50; ;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;76;2543,31108133576
4854437;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;76;3138,89634598366
4854437;1;2;1;50; ;1; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;03;1;76;3138,89634598366
4854438;1;1;1;50; ;1; ; ;1;4; ;2;1; ; ; ; ; ; ; ; ; ; ;03;1;76;2579,22199562446
4854438;1;2;1;50; ;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;76;2579,22199562446
4854438;1;3;1;50; ;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;76;2579,22199562446
4854438;1;4;1;50; ;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;76;2579,22199562446
4854439;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;76;1321,9684548085
4854439;1;2;1;50; ;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;76;1321,9684548085
4854439;1;3;1;50; ;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;76;1321,9684548085
4854440;1;1;1;50; ;1; ; ;1;6;ASISTE A LA IGLESIA;2;2;2;2;2; ; ; ; ; ; ; ;03;1;76;1940,77067146021
4854440;1;2;1;50; ;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;76;1940,77067146021
4854440;1;3;1;50; ;1;1; ;3;2; ;2;2;2;1; ; ; ; ; ; ; ;1;03;1;76;1940,77067146021
4854453;1;1;1;50; ;1;1; ;1;4; ;2;2;2;1; ; ; ; ; ; ; ;1;03;1;76;4294,29163464131
4854453;1;2;1;50; ;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;76;4294,29163464131
4854453;1;6;1;50; ;1;1; ;6;3; ;2;2;2;1; ; ; ; ; ; ; ;1;03;1;76;4294,29163464131
4854453;1;7;1;50; ;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;76;4294,29163464131
4854453;1;8;1;50; ;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;76;4294,29163464131
4854453;1;9;1;50; ;1; ; ;9;3; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;76;4294,29163464131
4854453;1;10;1;50; ;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;76;4294,29163464131
4854455;1;1;1;50; ;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;76;3343,09321064824
4854455;1;2;1;50; ;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;76;3343,09321064824
4854455;1;3;1;50; ;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;76;3343,09321064824
4854455;1;4;1;50; ;1; ; ;4;4; ;2;2;2;2;1;2; ;1;1; ;11;1;03;1;76;3343,09321064824
4854455;1;5;1;50; ;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;76;3343,09321064824
4854455;1;6;1;50; ;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;76;3343,09321064824
4854455;1;8;1;50; ;1; ; ;8;4; ;2;2;2;2;1;10; ; ; ; ; ; ;03;1;76;3343,09321064824
4854457;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;76;1909,74441157318
4854457;1;2;1;50; ;1;1; ;2;4; ;2;2;2;1; ; ; ; ; ; ; ;1;03;1;76;1909,74441157318
4854457;1;3;1;50; ;1;1; ;3;2; ;2;2;2;1; ; ; ; ; ; ; ;1;03;1;76;1909,74441157318
4854457;1;4;1;50; ;1; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;76;1909,74441157318
4854457;1;5;1;50; ;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;76;1909,74441157318
4854457;1;6;1;50; ;1; ; ;6;3; ;1; ; ; ; ; ; ; ; ; ; ; ;03;1;76;1909,74441157318
4854458;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;76;2613,8888032735
4854458;1;2;1;50; ;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;76;2613,8888032735
4854458;1;3;1;50; ;1;1; ;3;2; ;2;2;2;1; ; ; ; ; ; ; ;1;03;1;76;2613,8888032735
4854463;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;76;3049,0687288986
4854463;1;2;1;50; ;1; ; ;2;4; ;2;2;2;2;1;7; ;1;1; ;8;1;03;1;76;3049,0687288986
4854463;1;3;1;50; ;1; ; ;3;2; ;1; ; ; ; ; ; ; ; ; ; ; ;03;1;76;3049,0687288986
