DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
5055443;1;3;1;70;05;72;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;480000; ; ;45; ; ;1;2; ;11;05;818,032219355872
5055444;1;5;1;70;05;52;48;1; ;2;8;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;87;87;45;1;2;4541;11;05;1325,18166993889
5055456;1;1;1;70;05;32;48;1; ;2;6;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;95;95;45;1;2;4521;11;05;1226,28526323362
5055457;1;1;1;70;05;52;24;4; ;2;84;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;1;150000;500000;2; ;45;32;50;1;2;5030;11;05;1136,81584963051
5055465;1;2;1;70;05;104;48;4; ;2;104;4; ;1;2;1; ; ; ; ; ; ; ; ;1;YA ES PENSIONADO; ;2; ;828116;3; ;87;87;45;1;2;4541;11;05;1147,88091536839
5055468;1;3;1;70;05;2;48;1; ;2;2;1; ;9;2;9;COBERTURA; ; ; ; ; ; ; ; ; ;1;1;2400000;2000000;2; ;45;45;51;1;1;5125;11;05;954,550662400012
5055474;1;5;1;70;05;16;24;1; ;2;16;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;12;12;74;1;2;7411;11;05;1408,72798811719
5055485;1;3;1;70;05;1;48;1; ;2;3;1; ;5;2;3; ; ;1; ; ; ; ; ; ; ; ;1;828116;828116;1;2;12;12;91;1;1;9192;11;05;1001,25606935117
5055488;1;6;1;70;05;28;48;1; ;2;24;2; ;9;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;13;13;80;1;2;8042;11;05;784,461098683045
5055488;1;8;1;70;05;12;48;1; ;2;24;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;38;38;74;1;1;7499;11;05;784,461098683045
5055492;1;3;1;70;05;2;48;4; ;2;2;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;600000;828116;2; ;39;39;75;1;1;7512;11;05;744,705843293225
5055498;1;3;1;70;05;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;900000; ; ;45; ; ;1;1; ;11;05;806,737070270699
5055498;1;4;1;70;05;2;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;700000; ; ;45; ; ;1;1; ;11;05;806,737070270699
5055509;1;1;1;70;05;104;104;1; ;2;104;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;3; ;58;53;55;1;2;5530;11;05;1247,09898080791
5055520;1;1;1;70;05;24;48;1; ;2;28;5; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;39;79;17;1;2;1741;11;05;1105,61610510377
