DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;DPTO;fex_c_2011
5030389;1;1;1;80;05;1;4;3; ;2; ; ;9; ;3; ;2; ; ; ; ;3;1;10;05;603,399378337475
5030389;1;2;1;80;05;1;1;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;10;05;603,399378337475
5030389;1;3;1;80;05;1;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;10;05;603,399378337475
5030389;1;4;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10;05;603,399378337475
5030390;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10;05;1136,81004935308
5030391;1;1;1;80;05;1;4;4; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;10;05;1432,40617295408
5030391;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10;05;1432,40617295408
5030391;1;4;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;10;05;1432,40617295408
5030392;1;1;1;80;05;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;10;05;877,343409560962
5030392;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10;05;877,343409560962
5030392;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;10;05;877,343409560962
5030393;1;1;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;10;05;1285,0168295482
5030395;1;1;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;10;05;1141,33345052339
5030395;1;2;1;80;05;1;4;6; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;10;05;1141,33345052339
5030400;1;2;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;10;05;2514,90931600434
5030401;1;1;1;80;05;1;3;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;10;05;2560,98685675578
5030402;1;1;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10;05;1738,86397676743
5030402;1;2;1;80;05;1;3;3; ;2; ; ;11; ;2; ;2; ; ; ; ;2;1;10;05;1738,86397676743
5030402;1;7;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;10;05;1738,86397676743
