DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480S1;P7480S1A1;P7480S3;P7480S3A1;P7480S4;P7480S4A1;P7480S5;P7480S5A1;P7480S6;P7480S6A1;P7480S7;P7480S7A1;P7480S8;P7480S8A1;P7480S9;P7480S9A1;P7480S10;P7480S10A1;P7480S11;P7480S11A1;clase;MES;DPTO;fex_c_2011;AREA
5005545;1;1;1;90;2; ;1;8;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;1;09;68;2866,33937344766; 
5005545;1;2;1;90;2; ;1;36;2; ;1;12;2; ;2; ;2; ;2; ;2; ;2; ;1;09;68;2866,33937344766; 
5005545;1;3;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;4;1;09;68;2866,33937344766; 
5005545;1;4;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;5;1;09;68;2866,33937344766; 
5005545;1;6;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;1;10;2; ;1;09;68;2866,33937344766; 
5005545;1;7;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;09;68;2866,33937344766; 
5005546;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;09;68;2303,88813656031; 
5005546;1;2;1;90;2; ;1;18;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;09;68;2303,88813656031; 
5005546;1;3;1;90;2; ;1;2;2; ;2; ;2; ;2; ;1;4;2; ;2; ;1;2;1;09;68;2303,88813656031; 
5005547;1;1;1;90;2; ;1;28;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ;1;09;68;2031,68591706205; 
5005547;1;2;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;09;68;2031,68591706205; 
5005547;1;3;1;90;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;09;68;2031,68591706205; 
5005547;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;09;68;2031,68591706205; 
5005547;1;5;1;90;2; ;2; ;2; ;1;12;2; ;2; ;2; ;2; ;2; ;2; ;1;09;68;2031,68591706205; 
5005547;1;6;1;90;2; ;1;4;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;1;09;68;2031,68591706205; 
5005547;1;8;1;90;2; ;1;2;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;1;09;68;2031,68591706205; 
5005547;1;9;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;09;68;2031,68591706205; 
5005572;1;1;1;90;2; ;1;25;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;1;09;68;3278,86945640277; 
