directorio;secuencia_p;orden;p6020;p6040;mes;area;fex_c_2011
3755;1;1;2;46;04;68;226,576616167792
3755;1;2;1;13;04;68;226,576616167792
3755;1;3;2;6;04;68;226,576616167792
3755;1;4;2;71;04;68;226,576616167792
3755;1;5;2;66;04;68;226,576616167792
7781;1;1;1;66;04;50;123,073627907147
7781;1;2;2;65;04;50;123,073627907147
8054;1;1;2;33;04;54;474,225328384221
8054;1;2;1;8;04;54;474,225328384221
8054;1;3;2;3;04;54;474,225328384221
10515;1;1;2;40;04;11;4186,52979527259
10515;1;2;2;14;04;11;4186,52979527259
10515;1;3;1;17;04;11;4186,52979527259
10654;1;1;1;79;04;52;174,305606343211
10654;1;2;2;60;04;52;174,305606343211
10654;1;3;1;42;04;52;174,305606343211
12378;1;1;1;50;04;11;1611,13988220659
12378;1;2;2;50;04;11;1611,13988220659
12378;1;3;2;21;04;11;1611,13988220659
12392;1;1;1;44;04;11;1968,02117100179
12392;1;2;2;0;04;11;1968,02117100179
12392;1;3;2;12;04;11;1968,02117100179
12392;1;4;1;7;04;11;1968,02117100179
12416;1;1;2;96;04;17;78,560713490753
12416;1;2;1;58;04;17;78,560713490753
12416;1;3;2;18;04;17;78,560713490753
12419;1;1;1;64;04;11;3204,95734996319
12419;1;2;2;62;04;11;3204,95734996319
12427;1;1;1;56;04;17;105,177351161343
12427;1;2;2;54;04;17;105,177351161343
12427;1;3;1;32;04;17;105,177351161343
12427;1;4;1;26;04;17;105,177351161343
12427;1;5;2;4;04;17;105,177351161343
12460;1;1;1;28;04;17;581,155125492222
12460;1;2;2;29;04;17;581,155125492222
12460;1;3;2;3;04;17;581,155125492222
12463;1;1;2;87;04;17;51,036035890127
12463;1;2;2;69;04;17;51,036035890127
12463;1;3;2;57;04;17;51,036035890127
12466;1;1;1;30;04;23;325,477025266189
12466;1;2;2;28;04;23;325,477025266189
12466;1;3;2;5;04;23;325,477025266189
12466;1;4;2;53;04;23;325,477025266189
12474;1;1;2;77;04;23;205,450317202505
12477;1;1;1;54;04;17;229,66093329732
12477;1;2;2;49;04;17;229,66093329732
12486;1;1;1;54;04;17;380,963984496624
12486;1;2;2;50;04;17;380,963984496624
12486;1;3;1;20;04;17;380,963984496624
12489;1;1;1;29;04;17;229,66093329732
12489;1;2;2;26;04;17;229,66093329732
12494;1;1;1;37;04;17;616,87317005455
12494;1;2;2;34;04;17;616,87317005455
12494;1;3;2;19;04;17;616,87317005455
12494;1;4;2;15;04;17;616,87317005455
12496;1;1;2;32;04;17;314,485290004062
12496;1;2;1;15;04;17;314,485290004062
12496;1;3;2;9;04;17;314,485290004062
12516;1;1;1;42;04;17;210,429086345627
12516;1;2;2;48;04;17;210,429086345627
12516;1;3;1;23;04;17;210,429086345627
12516;1;4;1;23;04;17;210,429086345627
12516;1;5;1;17;04;17;210,429086345627
12523;1;1;2;84;04;17;220,935149479453
12523;1;2;1;26;04;17;220,935149479453
12582;1;1;1;54;04;17;73,3756279571782
12582;1;2;2;83;04;17;73,3756279571782
12582;1;3;1;55;04;17;73,3756279571782
12583;1;1;1;34;04;17;519,125550660793
12583;1;2;2;34;04;17;519,125550660793
12583;1;3;1;15;04;17;519,125550660793
12583;1;4;1;9;04;17;519,125550660793
12599;1;1;2;39;04;23;326,343720450516
12599;1;2;2;15;04;23;326,343720450516
12599;1;3;1;20;04;23;326,343720450516
12621;1;1;2;51;04;17;86,9469026317363
12627;1;1;1;36;04;17;90,3132864055912
12627;1;2;2;42;04;17;90,3132864055912
12636;1;1;1;31;04;17;111,052059262159
12636;1;2;2;61;04;17;111,052059262159
12661;1;1;1;24;04;23;228,544534675789
12662;1;1;2;77;04;23;156,789573141574
