DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
5105382;1;3;1;70;05;1;24;48;1; ;2;104;1; ;9;2;2; ; ; ; ;1; ; ; ; ; ; ;2; ;1300000;2; ;74;16;16;1;2;01;7410;05;1053,60861476464
5105389;1;2;1;70;05;1;4;48;1; ;2;4;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;82;59;38;1;1;01;8220;05;1191,37431692797
5105400;1;3;1;70;05;1;24;48;1; ;2;24;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;41;15;15;1;2;01;4112;05;766,924685458748
5105402;1;3;1;70;05;1;4;48;1; ;2;4;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;1;600000;1000000;2; ;47;53;45;1;1;01;4724;05;1007,3552142396
5105419;1;3;1;70;05;1;36;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;900000; ; ; ;39; ;1;2;01;.;05;995,175625670635
5105423;1;2;1;70;05;1;52;48;1; ;2;16;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;47;45;45;1;2;01;4792;05;1309,64413844723
5105426;1;3;1;70;05;1;24;48;1; ;2;104;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;870000;2; ;47;39;45;1;2;01;4771;05;1234,46248689844
5105426;1;6;1;70;05;1;8;48;1; ;2;52;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828000;2; ;82;97;39;1;1;01;8230;05;1234,46248689844
5105432;1;3;1;70;05;1;3;65;1; ;2;4;1; ;9;2;9;ES COTIZANTE; ;1; ; ; ; ; ; ; ; ;1;250000;828000;1;2;10;98;98;1;1;01;1040;05;890,669558930026
5105434;1;2;1;70;05;1;12;48;1; ;2;12;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1100000;2; ;14;38;33;1;1;01;1410;05;1106,81847674963
5105444;1;1;1;70;08;1;4;48;1; ;2;24;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;69;33;32;1;1;01;6910;08;502,852715535242
5105445;1;2;1;70;08;1;4;48;1; ;2;4;1; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;1;2000000;1500000;2; ;85;13;13;1;1;01;8551;08;640,335539916172
5105460;1;1;1;70;13;1;16;48;1; ;2;192;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;47;33;33;1;2;01;4711;13;402,868080798227
5105474;1;5;1;70;15;1;2;48;1; ;2;2;1; ;9;2;3; ; ; ; ; ; ; ; ; ; ;1;1;500000;828116;2; ;49;98;98;1;1;01;4921;15;100,086291979492
5105478;1;2;1;70;15;1;3;48;1; ;2;3;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;500000;877800;2; ;47;45;45;1;1;01;4771;15;64,2080078125012
5105482;1;2;1;70;15;1;50;40;1; ;2;50;4; ;9;2;4; ; ; ;1; ; ; ; ; ; ; ;2; ;2000000;1;1;85;19;19;1;2;01;8544;15;155,193968687498
5105484;1;3;1;70;15;1;6;40;2; ;2;9;1; ;6;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;1600000;2; ;93;18;18;1;1;01;9319;15;155,971607814233
5105489;1;2;1;70;15;1;42;48;1; ;2;52;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877800;2; ;69;45;32;1;2;01;6910;15;155,937733129642
5105490;1;2;1;70;15;1;16;48;2; ;2;16;4; ;9;2;6; ; ; ; ; ; ; ; ; ; ;1;2; ;1800000;2; ;84;21;39;1;2;01;8412;15;120,243122736577
5105491;1;2;1;70;15;1;52;40;1; ;2;52;5; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;86;05;05;1;2;01;8691;15;149,790544793874
5105492;1;3;1;70;15;1;4;48;2; ;2;4;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;1;1000000;2000000;2; ;85;13;13;1;1;01;8530;15;117,977571873542
5105495;1;1;1;70;15;1;28;48;1; ;2;72;4; ;7;2;2; ; ; ; ;1; ; ; ; ; ; ;2; ;1400000;2; ;62;16;16;1;2;01;6201;15;129,259676664996
5105502;1;1;1;70;15;1;1;40;2; ;2;1;4; ;9;2;1; ; ; ;1;1; ; ; ; ; ; ;1;3123000;2500000;1;2;84;12;12;1;1;01;8412;15;118,157981077049
5105502;1;5;1;70;15;1;1;48;2; ;2;1;2; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;1;2500000;5000000;1;1;85;19;13;1;1;01;8544;15;118,157981077049
5105518;1;1;1;70;15;1;8;40;1; ;2;25;1; ;8;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;4000000;2; ;85;12;13;1;1;01;8544;15;122,807974185905
5105519;1;1;1;70;15;1;12;70;4; ;2;12;4; ;2;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;56;51;50;1;1;01;5630;15;147,834864115345
5105554;1;1;1;70;15;1;12;40;2; ;2;4;4; ;9;2;3; ; ; ; ;1; ; ; ; ; ; ;1;1200000;3300000;2; ;84;02;02;1;1;01;8412;15;147,834864115345
5105557;1;2;1;70;17;1;9;40;1; ;2;4;2; ;6;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;1;1;85;13;13;1;1;01;8512;17;151,163231284871
5105559;1;3;1;70;17;1;8;48;1; ;2;48;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;82;53;38;1;1;01;8220;17;150,117373279438
5105567;1;1;1;70;17;1;2;48;1; ;2;2;1; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;1;3000000;3500000;1;1;25;30;70;1;1;01;2593;17;338,101010379616
5105569;1;2;1;70;17;1;1;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;828116; ; ; ;97; ;1;1;01;.;17;153,590075954067
5105569;1;4;1;70;17;1;1;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;828116; ; ; ;45; ;1;1;01;.;17;153,590075954067
5105589;1;1;1;70;17;1;8;48;1; ;2;8;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;56;53;53;1;1;01;5611;17;119,204314147471
5105591;1;2;1;70;17;1;24;60;1; ;2;52;1; ;5;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;56;53;53;1;2;01;5611;17;162,178156932699
5105598;1;3;1;70;17;1;2;48;1; ;2;3;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;1;490000;828116;2; ;14;95;95;1;1;01;1410;17;177,840049723301
5105605;1;1;1;70;17;1;48;48;1; ;2;48;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1800000;2; ;28;02;02;1;2;01;2816;17;297,859561470268
5105611;1;4;1;70;17;1;2;48;4; ;2;4;4; ;7;2;1; ; ;1; ; ; ; ; ; ; ; ;1;3000000;2000000;1;1;74;05;05;1;1;01;7490;17;201,65725851965
5105614;1;4;1;70;17;1;32;48;1; ;2;32;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;47;53;41;1;2;01;4721;17;250,198604802045
5105621;1;3;1;70;17;1;1;48;1; ;2;2;1; ;6;2;4; ; ; ; ; ; ; ; ; ; ;1;1;828116;828116;2; ;32;45;97;1;1;01;3290;17;119,204314147471
5105627;1;1;1;70;18;1;4;54;1; ;2;4;1; ;2;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;600000;2; ;41;95;59;1;1;01;4111;18;110,907346372146
5105628;1;2;1;70;18;1;24;48;1; ;2;24;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;890000;2; ;49;37;98;1;2;01;4921;18;100,969092267471
5105628;1;3;1;70;18;1;3;48;1; ;2;3;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;850000;2; ;46;97;97;1;1;01;4631;18;100,969092267471
