DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;DPTO;fex_c_2011
5135931;1;2;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;30;500000;2;1;02;44;2091,7070103841
5135934;1;2;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;44;2034,63654357025
5135937;1;2;1;80; ;2;1;3;3; ;2; ; ;9; ;2; ;2; ;1;25;800000;2;1;02;44;1116,58027259126
5135937;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;44;1116,58027259126
5135938;1;1;1;80; ;2;1;3;4; ;2; ; ;4; ;2; ;2; ;2; ;400000;2;1;02;68;1397,83717929412
5135938;1;2;1;80; ;2;1;4;4; ;2; ; ;4; ;2; ;2; ;2; ;500000;2;1;02;68;1397,83717929412
5135941;1;1;1;80; ;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;68;1125,54039037634
5135941;1;4;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;68;1125,54039037634
5135941;1;6;1;80; ;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;68;1125,54039037634
5135942;1;2;1;80; ;2;1;2;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;68;1000,82793066653
5135942;1;4;1;80; ;2;2; ; ; ; ;1;2;8; ;2; ;2; ;1;48;877803;2;1;02;68;1000,82793066653
5135943;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;68;2259,55051113219
5135943;1;6;1;80; ;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;68;2259,55051113219
5135943;1;7;1;80; ;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;68;2259,55051113219
5135945;1;2;1;80; ;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;68;2850,06084288171
5135946;1;1;1;80; ;2;1;1;8; ;2; ; ;4; ;2; ;2; ;2; ;800000;2;1;02;68;1565,0781976311
5137241;1;2;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;44;1487,37001728184
5137241;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;44;1487,37001728184
5137241;1;4;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;44;1487,37001728184
5137243;1;2;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;44;1154,80170248505
5137247;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;44;1886,51759460998
5140336;1;1;1;80; ;2;1;4;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;02;23;1425,2564770092
5140336;1;2;1;80; ;2;1;2;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;02;23;1425,2564770092
5140337;1;1;1;80; ;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;23;1387,58584679606
5140337;1;5;1;80; ;2;1;2;3; ;2; ; ;9; ;2; ;2; ;2; ;600000;2;1;02;23;1387,58584679606
5140337;1;6;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;23;1387,58584679606
5140338;1;1;1;80; ;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;23;1150,17407854881
5140338;1;3;1;80; ;2;1;3;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;23;1150,17407854881
5140339;1;1;1;80; ;2;1;1;8; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;02;23;4209,01182391076
5140339;1;2;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;23;4209,01182391076
5140339;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;23;4209,01182391076
5140339;1;4;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;23;4209,01182391076
5140340;1;2;1;80; ;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;23;2265,02486843399
5140340;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;23;2265,02486843399
5140340;1;4;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;23;2265,02486843399
5140341;1;2;1;80; ;2;1;3;3; ;2; ; ;9; ;2; ;2; ;2; ;600000;2;1;02;23;3394,04110492102
5140341;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;23;3394,04110492102
5140342;1;1;1;80; ;2;1;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;23;1966,79342667147
5140343;1;1;1;80; ;2;1;4;8; ;2; ; ;9; ;2; ;2; ;2; ;300000;2;1;02;23;2651,19477556553
5140343;1;2;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;23;2651,19477556553
5140344;1;1;1;80; ;2;1;4;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;02;23;1188,01419927458
5140344;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;23;1188,01419927458
5140345;1;2;1;80; ;2;1;4;3; ;2; ; ;9; ;2; ;2; ;2; ;500000;2;1;02;23;2050,62446250489
5140345;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;23;2050,62446250489
5140347;1;2;1;80; ;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;23;1506,54332927614
5140348;1;2;1;80; ;2;1;2;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;23;1981,81902709606
5140348;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;48;400000;2;1;02;23;1981,81902709606
5140349;1;1;1;80; ;2;1;2;3; ;2; ; ;9; ;2; ;2; ;1;24;400000;2;1;02;23;2238,68250943015
5140349;1;2;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;23;2238,68250943015
5140349;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;23;2238,68250943015
5140350;1;2;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;23;2410,77292227779
5140350;1;4;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;23;2410,77292227779
5140352;1;1;1;80; ;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;23;1869,87136460216
5140352;1;2;1;80; ;2;1;2;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;23;1869,87136460216
5140352;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;23;1869,87136460216
5140354;1;1;1;80; ;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;23;1695,43361020501
