directorio;secuencia_p;orden;P7250;P7310;P7320;OFICIO2;RAMA2D_D_r4;RAMA4D_D_r4;P7350;P7360;dsi;mes;area;dpto;fex_c_2011
141368;1;2;52;2;52;32;10;1061;1;9;1;07;47;47;231,70530905538
141381;1;2;8;1; ; ; ; ; ; ;1;07;47;47;226,845366271646
141386;1;1;4;2;13;77;10;1040;4;1;1;07;47;47;213,709393878155
141389;1;2;13;2;14;41;47;4759;4;1;1;07;47;47;122,480524196177
141393;1;3;12;2;15;39;47;4711;1;9;1;07;47;47;141,842036180594
141396;1;2;72;2;72;53;56;5629;1;6;1;07;68;68;335,385739048807
141405;1;1;12;2;12;03;95;9522;4;1;1;07;19;19;158,357584830996
141413;1;2;24;2;24;95;41;4111;1;2;1;07;52;52;277,215946638649
141419;1;1;1;2;1;89;23;2392;4;1;1;07;54;54;238,754242986026
141420;1;3;6;2;15;98;49;4921;1;6;1;07;19;19;188,244938785255
141420;1;4;6;2;15;53;56;5611;1;2;1;07;19;19;188,244938785255
141429;1;2;5;2;13;11;84;8412;2;9;1;07;41;41;81,9814973879389
141436;1;2;6;2;8;80;15;1522;4;1;1;07;54;54;307,410751062968
141436;1;3;8;2;12;80;15;1522;4;1;1;07;54;54;307,410751062968
141439;1;2;12;2;12;57;96;9602;4;2;1;07;19;19;91,3876210847617
141443;1;2;6;2;15;98;49;4921;1;6;1;07;19;19;130,393405754641
141448;1;1;16;2;20;98;49;4921;1;7;1;07;23;23;295,189246678643
141453;1;2;4;2;16;75;13;1399;4;1;1;07;44;44;84,3200189924831
141453;1;3;8;2;24;45;47;4771;1;2;1;07;44;44;84,3200189924831
141454;1;3;2;2;12;54;97;9700;3;1;1;07;23;23;154,017679847793
141454;1;4;1;2;10;54;97;9700;3;1;1;07;23;23;154,017679847793
141454;2;1;2;2;10;54;97;9700;3;1;1;07;23;23;154,017679847793
141455;1;5;20;2;20;54;97;9700;3;1;1;07;47;47;162,321279573166
141458;1;2;8;2;16;38;82;8220;1;9;1;07;11;11;6079,68537074886
141470;1;2;8;2;16;84;45;4520;1;4;1;07;23;23;169,240456316206
141474;1;3;6;2;15;53;56;5611;4;2;1;07;19;19;254,812562492077
141474;1;4;6;2;15;53;56;5611;4;2;1;07;19;19;254,812562492077
141474;1;5;6;2;17;58;84;8422;2;9;1;07;19;19;254,812562492077
141483;1;2;12;2;14;95;41;4111;1;3;1;07;68;68;438,036120726668
141484;1;3;20;2;20;45;17;1709;1;9;1;07;47;47;201,116422346869
141485;1;2;20;1; ; ; ; ; ; ;1;07;13;13;396,061200103553
