DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480S1;P7480S1A1;P7480S3;P7480S3A1;P7480S4;P7480S4A1;P7480S5;P7480S5A1;P7480S6;P7480S6A1;P7480S7;P7480S7A1;P7480S8;P7480S8A1;P7480S9;P7480S9A1;P7480S10;P7480S10A1;P7480S11;P7480S11A1;clase;MES;DPTO;fex_c_2011
5169131;1;1;1;90;1;1;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;44;561,523164176516
5169131;1;2;1;90;1;10;1;26;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;44;561,523164176516
5169131;1;3;1;90;1;14;1;28;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;44;561,523164176516
5169132;1;1;1;90;1;8;1;25;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2;05;44;951,384554652765
5169132;1;2;1;90;1;10;1;22;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;44;951,384554652765
5169132;1;3;1;90;1;10;1;22;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;44;951,384554652765
5169132;1;4;1;90;1;10;1;11;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;44;951,384554652765
5169133;1;1;1;90;1;10;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;44;529,539091701643
5169133;1;2;1;90;1;25;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;05;44;529,539091701643
5169134;1;1;1;90;1;12;1;6;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2;05;44;1623,0522504368
5169134;1;2;1;90;1;10;1;25;2; ;1;12;2; ;2; ;2; ;2; ;2; ;2; ;2;05;44;1623,0522504368
5169134;1;3;1;90;1;15;1;6;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2;05;44;1623,0522504368
5169134;1;4;1;90;1;12;1;12;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2;05;44;1623,0522504368
5169134;1;5;1;90;1;10;1;8;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2;05;44;1623,0522504368
5169135;1;1;1;90;1;12;1;6;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2;05;44;1239,24095497732
5169135;1;2;1;90;2; ;1;30;2; ;1;18;2; ;2; ;2; ;2; ;2; ;2; ;2;05;44;1239,24095497732
5169136;1;1;1;90;1;10;1;22;2; ;1;13;2; ;2; ;2; ;2; ;2; ;2; ;2;05;44;1510,64195551948
5169136;1;2;1;90;1;2;1;3;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2;05;44;1510,64195551948
5169136;1;3;1;90;1;6;1;4;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2;05;44;1510,64195551948
