DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;RAMA4D_D_R4;MES;DPTO;fex_c_2011
5214054;1;4;1;70;68;12;48;1; ;2;27;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;31;33;45;1;1;3110;09;68;699,165985544904
5214059;1;1;1;70;68;5;30;1; ;2;20;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;49;98;98;1;1;4921;09;68;576,362897912831
5214120;1;3;1;70;17;16;48;1; ;2;20;1; ;6;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;1400000;1;2;88;18;18;1;2;8890;09;17;158,190227866323
5214121;1;3;1;70;17;48;48;1; ;2;48;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877802;2; ;30;38;02;1;2;3091;09;17;99,7992530345444
5214129;1;1;1;70;50;200;48;4; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877000;2; ;43;93;93;1;2;4330;09;50;286,910635732004
5214130;1;2;1;70;05;10;48;1; ;2;16;1; ;7;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;14;39;70;1;1;1410;09;05;1446,79297869575
5214133;1;1;1;70;05;12;48;1; ;2;24;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;56;53;53;1;1;5611;09;05;1446,79297869575
5214133;1;2;1;70;05;12;48;1; ;2;28;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;41;95;95;1;1;4111;09;05;1446,79297869575
5214134;1;1;1;70;50;56;48;1; ;2;56;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;41;95;95;1;2;4111;09;50;234,868461140068
5214137;1;1;1;70;54;32;40;4; ;2;32;4; ;1;2;4; ; ; ; ; ; ; ;1; ; ; ;2; ;877803;2; ;88;79;54;1;2;8890;09;54;368,939970541602
5214164;1;1;1;70;76;2;48;1; ;2;25;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877807;2; ;81;55;55;1;1;8121;09;76;1147,86950045645
5214189;1;3;1;70;17;32;48;2; ;2;32;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;85;13;13;1;2;8530;09;17;102,404660553409
5214191;1;4;1;70;17;36;48;1; ;2;36;1; ;3;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;47;16;45;1;2;4771;09;17;99,7992530345444
5214191;1;5;1;70;17;98;98;1; ;2;98;1; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;77;32;32;1;2;7740;09;17;99,7992530345444
5214200;1;3;1;70;23;12;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;2000000; ; ; ;05; ;1;1;.;09;23;108,125745655107
5214247;1;2;1;70;05;20;48;2; ;2;20;4; ;6;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;71;02;02;1;2;7110;09;05;1446,79297869575
5214248;1;1;1;70;05;20;48;1; ;2;20;1; ;6;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;14;97;97;1;2;1410;09;05;1109,65847738232
5214255;1;2;1;70;68;28;40;1; ;2;6;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;928000;2; ;47;55;45;1;2;4782;09;68;605,722049925263
5214257;1;3;1;70;68;32;55;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;700000; ; ; ;57; ;1;2;.;09;68;669,927591394654
5214259;1;2;1;70;68;10;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;877800; ; ; ;45; ;1;1;.;09;68;608,466717920744
5214261;1;4;1;70;68;8;48;1; ;2;12;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877000;2; ;15;45;80;1;1;1522;09;68;565,96173180178
5214268;1;2;1;70;52;208;48;1; ;2;104;1; ;4;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;49;98;98;1;2;4923;09;52;252,124616542178
5214270;1;1;1;70;52;28;48;1; ;2;48;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;50000;900000;2; ;47;32;45;1;2;4711;09;52;193,421139647458
5214274;1;1;1;70;68;27;48;4; ;2;27;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;96;55;59;1;2;9609;09;68;540,11251265568
