DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;p7440;DPTO;fex_c_2011
5332763;1;2;1;80;63;1;1;9;PANDEMIA;1; ;1;1; ;2; ;2; ; ; ; ;2;1;01;2;63;121,209215136872
5332763;1;4;1;80;63;1;2; ; ; ;2; ; ;.;2; ;2; ;2; ;800000;2;1;01; ;63;121,209215136872
5332764;1;2;1;80;63;1;1;4; ;2; ; ;9; ;2; ;2; ;2; ;600000;2;1;01;4;63;74,4452587560938
5332764;1;5;1;80;63;1;2; ; ; ;2; ; ;.;2; ;2; ;1;48;700000;2;1;01; ;63;74,4452587560938
5332765;1;3;1;80;63;1;1;8; ;2; ; ;1; ;2; ;2; ;1;48;700000;2;1;01;1,1;63;183,974204026019
5332766;1;1;1;80;63;1;1;5; ;2; ; ;4; ;3; ;2; ; ; ; ;3;1;01;4;63;166,363868069558
5332767;1;1;1;80;63;1;1;4; ;2; ; ;4; ;2; ;2; ;2; ;600000;2;1;01;4;63;136,871201018404
5332767;1;2;1;80;63;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;01;4;63;136,871201018404
5332769;1;1;1;80;63;1;1;5; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;01;4;63;166,363868069558
5332772;1;1;1;80;68;1;1;9;AISLAMIENTO PREVENTIVO OBLIGATORIO;2; ; ;12;TEMOR AL CONTAGIO COVID 19;2; ;2; ; ; ; ;2;1;01;1,4;68;299,79015098077
5332772;1;3;1;80;68;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01; ;68;299,79015098077
5332774;1;2;1;80;68;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;01; ;68;360,181162546514
5332775;1;2;1;80;63;1;1;8; ;2; ; ;9; ;2; ;2; ;1;48;877803;2;1;01;1,2;63;167,756520795089
5332776;1;1;1;80;63;1;1;7; ;2; ; ;7; ;2; ;1;600000;1;48;750000;2;1;01;1,1;63;218,705483713274
5332776;1;3;1;80;63;1;1;8; ;2; ; ;1; ;2; ;2; ; ; ; ;2;1;01;1,4;63;218,705483713274
5332779;1;2;1;80;63;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;01; ;63;145,819722202095
5332780;1;3;1;80;63;1;1;8; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;01;1,1;63;99,0691260210568
5332780;1;4;1;80;63;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01; ;63;99,0691260210568
