DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;p7440;DPTO;fex_c_2011
5372925;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;2;68;777,643347655523
5372925;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;4;68;777,643347655523
5372927;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;4;68;1140,48667569823
5372927;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02; ;68;1140,48667569823
5372928;1;5;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02; ;68;1114,83636604582
5372932;1;1;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ;1;8;908526;2;1;02;2;68;574,754125270222
5372932;1;2;1;80;2;2; ; ; ;1;2;4; ;3; ;2; ;1;48;908526;3;1;02; ;68;574,754125270222
5372932;1;3;1;80;2;1;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;02;4;68;574,754125270222
5372933;1;1;1;80;2;1;5; ;1; ;3;8; ;3; ;2; ; ; ; ;3;1;02;3;68;777,643347655523
5372933;1;2;1;80;2;1;5; ;2; ; ;4; ;3; ;2; ; ; ; ;3;1;02;4;68;777,643347655523
5372934;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;1,2;68;644,512440169138
5372934;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02; ;68;644,512440169138
5372935;1;1;1;80;2;1;8; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;02;2;68;995,584919631381
5372938;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02; ;18;980,057392095764
5372939;1;3;1;80;2;1;7; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;1,2;18;2957,20166268778
5372939;1;4;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02; ;18;2957,20166268778
5372939;1;5;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02; ;18;2957,20166268778
5372939;1;6;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02; ;18;2957,20166268778
5372940;1;1;1;80;2;1;6; ;2; ; ;1; ;2; ;1;60000;1;40;500000;2;1;02;2;18;1170,95514233094
5372940;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02; ;18;1170,95514233094
5372941;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02; ;18;1589,25564301912
5372942;1;4;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02; ;18;739,300415671945
5372943;1;1;1;80;2;1;6; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;1,4;18;1266,08093471964
5372944;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02; ;18;772,784063338767
5372944;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02; ;18;772,784063338767
5372945;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;4;18;739,300415671945
5372945;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02; ;18;739,300415671945
5372945;1;5;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02; ;18;739,300415671945
5372946;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02; ;18;868,048251215418
5372946;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02; ;18;868,048251215418
5372947;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;4;18;1684,88920537764
5372948;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02; ;18;1394,97342409163
5372948;1;4;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02; ;18;1394,97342409163
5372948;1;5;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02; ;18;1394,97342409163
5372949;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ;1;48;800000;2;1;02; ;18;1437,18546604725
5373383;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02; ;44;1375,23124152189
5373383;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02; ;44;1375,23124152189
5373384;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02; ;44;1701,29099678382
5373384;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02; ;44;1701,29099678382
5373384;1;5;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02; ;44;1701,29099678382
5373385;1;1;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02; ;44;1057,50062737868
5373385;1;2;1;80;2;1;5; ;2; ; ;4; ;3; ;2; ; ; ; ;3;1;02;4;44;1057,50062737868
5373385;1;3;1;80;2;1;4; ;2; ; ;1; ;2; ;2; ; ; ; ;2;1;02;3;44;1057,50062737868
5373385;1;6;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02; ;44;1057,50062737868
5373385;1;7;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02; ;44;1057,50062737868
5373385;1;9;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02; ;44;1057,50062737868
5373387;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;2;44;1033,29593701991
5373388;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02; ;44;847,661775517279
5373388;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02; ;44;847,661775517279
5373390;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02; ;44;847,661775517279
5373391;1;1;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;4;44;970,415054045749
5373391;1;3;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ;1;50;900000;2;1;02;2;44;970,415054045749
5373392;1;4;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02; ;44;726,887585410042
5373394;1;2;1;80;2;1;4; ;2; ; ;4; ;1; ;2; ; ; ; ;2;1;02;2;44;862,346221295832
5373394;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02; ;44;862,346221295832
5373395;1;1;1;80;2;1;9;POR LA PANDEMIA NACIONAL;2; ; ;12;POR LA PANDEMIA NACIONAL;2; ;2; ; ; ; ;2;1;02;1,4;44;901,5449345813
5373395;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02; ;44;901,5449345813
5373396;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;4;44;1957,87387532007
5373396;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02; ;44;1957,87387532007
5373397;1;1;1;80;2;1;8; ;2; ; ;9; ;2; ;2; ;1;48;1500000;2;1;02;4;44;1740,89624489864
5373397;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02; ;44;1740,89624489864
5373399;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02; ;44;1366,02430865367
5373403;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;2;44;887,2670236321
5373405;1;2;1;80;2;1;3; ;1; ;1;1; ;2; ;2; ; ; ;400000;2;1;02;2;44;1366,02430865367
5373408;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02; ;44;763,53185060021
5373411;1;1;1;80;2;1;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;02;4;68;1087,90057792986
5373412;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02; ;68;524,042196225037
5373412;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02; ;68;524,042196225037
5373414;1;2;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;4;68;817,018692656764
5373442;1;2;1;80;2;2; ; ; ;1;3;9; ;2; ;2; ; ; ; ;2;1;02; ;18;1085,86670230163
5373443;1;1;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02; ;18;464,897320591061
5373445;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ;1;30;400000;2;1;02; ;18;289,961134277196
5373445;1;4;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02; ;18;289,961134277196
5373445;1;5;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02; ;18;289,961134277196
5373445;1;6;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02; ;18;289,961134277196
5373447;1;2;1;80;2;1;3; ;2; ; ;1; ;2; ;2; ; ; ; ;2;1;02;2;18;416,207750227404
5373449;1;2;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;1,4;18;1016,59408326998
5373449;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02; ;18;1016,59408326998
5373449;1;6;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;3;18;1016,59408326998
5373450;1;1;1;80;2;1;3; ;2; ; ;1; ;2; ;2; ; ; ; ;2;1;02;1,4;18;1085,86670230163
5373451;1;1;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;2;18;638,454168481968
5373451;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02; ;18;638,454168481968
5373451;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02; ;18;638,454168481968
5373452;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;1,4;18;271,466675575408
5373452;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02; ;18;271,466675575408
5373452;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02; ;18;271,466675575408
5373453;1;2;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02; ;18;473,02329306093
5373454;1;1;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02; ;18;408,560762730737
5373455;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;2;18;820,068804006377
5373456;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02; ;18;463,449797331735
5373456;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02; ;18;463,449797331735
5373457;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;3;18;340,098227900179
5373457;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02; ;18;340,098227900179
5376306;1;2;1;80;2;2; ; ; ;1;3;7; ;2; ;2; ; ; ; ;2;1;02; ;44;704,625242641283
5376307;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;4;44;1061,92437280336
