DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;RAMA4D_D_R4;MES;DPTO;fex_c_2011
5494144;1;1;1;70;05;150;48;1; ;2;84;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;92;55;21;1;2;9200;07;05;910,662789596985
5494144;1;4;1;70;05;24;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .; ; ; ;908526; ; ; ;45; ;1;2;   .;07;05;910,662789596985
5494150;1;2;1;70;05;104;24;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .; ; ; ;450000; ; ; ;38; ;1;2;   .;07;05;1078,50918268028
5494154;1;1;1;70;05;12;48;1; ;2;98;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;64;33;33;1;1;6412;07;05;893,50587535838
5494158;1;5;1;70;05;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .; ; ; ;908526; ; ; ;93; ;1;1;   .;07;05;1241,54229284645
5494160;1;1;1;70;05;2;48;1; ;2;52;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;1;70000;908526;2; ;18;92;92;1;1;1811;07;05;1162,17455401171
5494161;1;5;1;70;05;2;48;1; ;2;3;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;1;200000;908526;2; ;07;45;71;1;1;0722;07;05;2329,80735904102
5494162;1;3;1;70;05;52;24;1; ;2;104;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;450000;2; ;81;45;55;1;2;8121;07;05;1095,66609691889
5494164;1;1;1;70;05;16;48;1; ;2;16;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;52;39;39;1;2;5229;07;05;1388,65321592651
5494167;1;4;1;70;05;52;48;1; ;2;52;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;43;93;93;1;2;4330;07;05;1131,26309194059
5494170;1;5;1;70;05;52;48;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .; ; ; ;908000; ; ; ;95; ;1;2;   .;07;05;2305,17106607259
5494176;1;5;1;70;05;40;48;1; ;2;66;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;47;45;45;1;2;4772;07;05;1827,26049062312
5494176;1;8;1;70;05;24;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .; ; ; ;500000; ; ; ;70; ;1;2;   .;07;05;1827,26049062312
5494177;1;1;1;70;05;24;48;1; ;2;28;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;14;79;79;1;2;1410;07;05;994,328160928415
5494177;1;2;1;70;05;36;48;1; ;2;36;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;97;45;59;1;2;9700;07;05;994,328160928415
5494179;1;3;1;70;05;4;48;4; ;2;53;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;49;98;98;1;1;4921;07;05;1251,4387175877
5494183;1;2;1;70;05;52;48;1; ;2;216;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;41;55;95;1;2;4111;07;05;992,666463675625
5494184;1;1;1;70;05;28;50;4; ;2;28;4; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;3000000;2; ;84;12;03;1;2;8412;07;05;1184,81221894798
5494184;1;3;1;70;05;24;48;1; ;2;50;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;82;45;38;1;2;8220;07;05;1184,81221894798
5494198;1;2;1;70;05;52;48;1; ;2;52;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;14;79;79;1;2;1410;07;05;992,666463675625
5494199;1;3;1;70;05;16;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .; ; ; ;908526; ; ; ;45; ;1;2;   .;07;05;872,490838028517
5494212;1;1;1;70;05;52;48;1; ;2;104;1; ;9;2;6; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;56;45;45;1;2;5612;07;05;1299,50709389742
5494217;1;3;1;70;05;72;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .; ; ; ;1500000; ; ; ;02; ;1;2;   .;07;05;1378,75679118526
5494219;1;3;1;70;05;24;48;1; ;2;24;1; ;9;2;9;POR COBERTURA; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;63;39;39;1;2;6399;07;05;720,178731577424
