DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
5475200;1;3;1;70;2;12;40;1; ;2;36;1; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;42;55;33;1;1;06;4290;15;1194,08950254883
5475204;1;1;1;70;2;2;40;1; ;2;4;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;800000;908526;2; ;01;62;62;1;1;06;0121;15;6089,85646299904
5479642;1;2;1;70;2;48;40;1; ;2;48;1; ;5;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;68;58;58;1;2;06;6820;15;4585,44720990456
5480239;1;3;1;70;2;52;48;1; ;2;52;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;908700;2; ;86;59;59;1;2;06;8610;15;1194,08950254883
5480251;1;1;1;70;2;96;40;1; ;2;96;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;41;95;95;1;2;06;4111;15;1598,11626884172
5480251;1;3;1;70;2;24;48;1; ;2;24;1; ;4;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;41;95;95;1;2;06;4111;15;1598,11626884172
5481197;1;4;1;70;2;24;48;8; ;2;24;8; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;01;62;62;1;2;06;0141;47;1647,99790321526
5481332;1;1;1;70;2;24;48;1; ;2;52;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;56;53;53;1;2;06;5611;68;1091,01680760794
5481332;1;3;1;70;2;24;48;1; ;2;52;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;55;45;39;1;2;06;5511;68;1091,01680760794
5481372;1;2;1;70;2;2;40;1; ;2;66;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;36;13;39;1;1;06;3600;76;4933,77682392934
5481373;1;1;1;70;2;3;48;3; ;2;78;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;97;54;54;1;1;06;9700;76;2341,35903609963
5481419;1;1;1;70;2;36;40;1; ;2;36;2; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;3500000;2; ;84;19;19;1;2;06;8413;15;1194,08950254883
5481423;1;1;1;70;2;9;49;4; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;600000;700000;2; ;41;95;95;1;1;06;4111;18;1579,84549362235
5481427;1;3;1;70;2;52;40;1; ;2;52;3; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;97;13;54;1;2;06;9700;18;732,56677721975
5481427;1;4;1;70;2;20;40;2; ;2;52;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;85;13;13;1;2;06;8530;18;732,56677721975
5481435;1;3;1;70;2;3;45;4; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;300000;600000;2; ;01;61;61;1;1;06;0161;18;1031,652467692
5481444;1;1;1;70;2;3;52;1; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;800000;800000;2; ;01;60;62;1;1;06;0161;18;732,56677721975
5481486;1;2;1;70;2;2;40;2; ;2;5;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;1000000;1000000;2; ;85;13;13;1;1;06;8530;18;1147,38763907815
5481489;1;1;1;70;2;2;45;4; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;300000;2; ;43;99;99;1;1;06;4312;18;1574,66764779479
5484890;1;3;1;70;2;20;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;500000; ; ; ;45; ;1;2;06;.;70;1803,3610670745
5484902;1;1;1;70;2;2;48;3; ;2;20;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;97;54;54;1;1;06;9700;70;1352,90601653999
5484971;1;3;1;70;2;12;40;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;600000; ; ; ;44; ;1;1;06;.;70;1172,59979183183
5484972;1;1;1;70;2;6;50;3; ;2;24;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;47;54;45;1;1;06;4792;70;1703,50255401085
5484973;1;1;1;70;2;8;40;1; ;2;8;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;01;97;62;1;1;06;0113;70;1553,94411042759
5484976;1;1;1;70;2;52;50;1; ;2;52;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;46;62;62;1;2;06;4631;44;1471,18085538778
5485033;1;1;1;70;2;5;40;1; ;2;5;1; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;49;98;98;1;1;06;4921;44;689,735822337962
5485066;1;1;1;70;2;2;48;1; ;2;4;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;1;1000000;1000000;2; ;42;97;97;1;1;06;4210;18;1280,18815008153
5485088;1;1;1;70;2;5;48;4; ;2;5;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;1;400000;800000;2; ;01;62;62;1;1;06;0161;18;1735,77717047448
5485089;1;1;1;70;2;16;48;4; ;2;16;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;01;61;61;1;2;06;0161;18;995,844109048132
5485093;1;1;1;70;2;1;48;2; ;2;16;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;47;59;41;1;1;06;4722;18;1786,45277490386
5485461;1;2;1;70;2;52;48;4; ;2;52;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;74;05;05;1;2;06;7490;54;457,982999960612
