DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;RAMA4D_D_R4;MES;DPTO;fex_c_2011
5392701;1;2;1;70;17;48;48;1; ;2;48;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;41;95;95;1;2;4111;03;17;230,83690968429
5392705;1;2;1;70;17;48;48;1; ;2;48;1; ;3;1;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;56;03;50;1;2;5613;03;17;236,86395225838
5392707;1;2;1;70;17;4;48;1; ;2;4;1; ;4;2;4; ; ; ; ; ; ; ; ; ; ;1;1;1000000;908526;2; ;41;95;95;1;1;4111;03;17;274,663222499999
5392708;1;1;1;70;17;24;48;1; ;2;24;1; ;2;2;1; ; ; ;1; ; ; ; ; ; ; ;2; ;908526;1;4;41;95;95;1;2;4111;03;17;159,895145320495
5392854;1;3;1;70;50;4;4;1; ;2;4;4; ;4;2;1; ; ;1; ; ; ; ; ; ; ; ;1;2000000;2500000;1;1;86;19;19;1;1;8621;03;50;319,778569820478
5392867;1;3;1;70;50;52;48;1; ;2;52;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;81;03;59;1;2;8129;03;50;237,604511175229
5392869;1;2;1;70;50;16;48;1; ;2;8;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;56;45;53;1;2;5630;03;50;325,525749131786
5392870;1;1;1;70;50;30;48;1; ;2;30;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1300000;2; ;41;95;95;1;2;4111;03;50;203,690383308724
5392871;1;7;1;70;50;2;48;1; ;2;3;4; ;1;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;88;45;54;1;1;8890;03;50;346,847386287102
5392885;1;5;1;70;50;8;48;1; ;2;10;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;10;58;77;1;1;1081;03;50;311,392047267051
5392887;1;1;1;70;50;26;48;1; ;2;28;1; ;2;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;31;97;81;1;2;3110;03;50;347,700742792994
