DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;p7440;DPTO;fex_c_2011
5443993;1;3;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;1027,10115045829
5443994;1;4;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;1155,98135646815
5443997;1;1;1;80;05;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;4;05;1053,29855573577
5443998;1;1;1;80;05;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;4;05;1053,29855573577
5444002;1;1;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;1223,90744396024
5444002;1;2;1;80;05;1;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;05;4;05;1223,90744396024
5444004;1;3;1;80;05;2; ; ; ;1;1;2; ;2; ;2; ; ; ;450000;2;1;05; ;05;1019,78933308597
5444005;1;2;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;2121,15672278804
5444008;1;2;1;80;05;2; ; ; ;1;2;2; ;2; ;2; ;2; ;350000;2;1;05; ;05;1332,38821378386
5444009;1;3;1;80;05;1;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;05;1,4;05;1058,92325409162
5444011;1;1;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;1181,46434819399
5444011;1;5;1;80;05;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;2;05;1181,46434819399
5444012;1;2;1;80;05;1;4; ;2; ; ;4; ;3; ;2; ; ; ; ;3;1;05;4;05;689,76877788312
5444012;1;3;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ;1;38;908526;2;1;05; ;05;689,76877788312
5444012;1;4;1;80;05;1;3; ;2; ; ;9; ;2; ;2; ;1;48;908526;2;1;05;1,3;05;689,76877788312
5444012;1;5;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;689,76877788312
5444013;1;1;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;1060,61037310808
5444013;1;2;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ;2; ;908000;2;1;05; ;05;1060,61037310808
5444014;1;2;1;80;05;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;3;05;1332,38821378386
5444015;1;3;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ;2; ;908526;2;1;05; ;05;1453,30750859371
5444015;1;4;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;1453,30750859371
5444016;1;7;1;80;05;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05; ;05;768,03661989442
5444018;1;1;1;80;05;1;5; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;05;4;05;813,277498969372
5444018;1;2;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;05;4;05;813,277498969372
5444019;1;3;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;1053,12528500039
5444019;1;4;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;1053,12528500039
5444019;1;5;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;1053,12528500039
5444019;1;6;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;05;4;05;1053,12528500039
5444021;1;1;1;80;05;2; ; ; ;1;1;12;PANDEMIA ENFERMA;2; ;2; ; ; ; ;2;1;05; ;05;1223,90744396024
5444022;1;1;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;05;4;05;1053,29855573577
5444023;1;1;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;05;4;05;1400,31430127595
5444024;1;1;1;80;05;1;9;TERMINACION DE CONTRATO;2; ; ;4; ;1; ;2; ; ; ; ;2;1;05;2;05;1076,09171516434
5444025;1;4;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;956,175133635294
5444028;1;1;1;80;05;1;9;EL SENOR SE TRASLADO A LA COSTA;1; ;1;12;PIDEN PET PANDEMIA;2; ;2; ;1;48;908526;2;1;05;1,2;05;2459,41082610296
5444028;1;3;1;80;05;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05; ;05;2459,41082610296
5444028;1;6;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;2459,41082610296
5444028;1;8;1;80;05;1;9;CAMBIO DE RESIDENCIA;2; ; ;4; ;2; ;2; ; ; ; ;2;1;05;3;05;2459,41082610296
5444029;1;3;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;1375,83402283092
5444031;1;2;1;80;05;1;1; ;2; ; ;9; ;2; ;2; ;1;48;980000;2;1;05;4;05;866,175635198833
5444031;1;4;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;866,175635198833
5444034;1;1;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;746,071159961483
5444034;1;2;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;746,071159961483
5444035;1;1;1;80;05;1;1; ;2; ; ;2; ;1; ;2; ;1;48;1500000;2;1;05;2;05;1375,83402283092
5444035;1;2;1;80;05;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05; ;05;1375,83402283092
5444035;1;3;1;80;05;1;5; ;1; ;4;8; ;3; ;2; ; ; ; ;3;1;05;4;05;1375,83402283092
5444037;1;1;1;80;05;1;7; ;2; ; ;8; ;3; ;2; ;2; ;908526;3;1;05;3;05;1400,31430127595
5444045;1;1;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;05;3;05;1053,29855573577
5444046;1;1;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;05;4;05;989,684356285085
5444049;1;1;1;80;05;1;7; ;2; ; ;4; ;2; ;2; ;1;48;1800000;2;1;05;1,4;05;1036,78452342331
5444049;1;3;1;80;05;2; ; ; ;1;2;2; ;2; ;2; ;1;24;450000;2;1;05; ;05;1036,78452342331
5444052;1;1;1;80;05;1;5; ;2; ; ;8; ;3; ;2; ; ; ; ;3;1;05;4;05;1263,04136496589
5444052;1;3;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;1263,04136496589
5444053;1;2;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;1223,90744396024
5444055;1;1;1;80;05;1;3; ;2; ; ;9; ;1; ;2; ; ; ; ;2;1;05;4;05;3928,78516306587
5444057;1;1;1;80;05;1;5; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;05;4;05;1400,31430127595
5444063;1;2;1;80;05;1;1; ;2; ; ;6; ;2; ;2; ;1;48;908526;2;1;05;4;05;3598,28149654563
5444063;1;3;1;80;05;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05; ;05;3598,28149654563
5444063;1;4;1;80;05;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;4;05;3598,28149654563
5444064;1;4;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;2742,92547777978
5444065;1;2;1;80;05;1;6; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;1,4;05;3467,94406940445
5444065;1;4;1;80;05;1;5; ;2; ; ;11; ;2; ;2; ; ; ; ;2;1;05;4;05;3467,94406940445
5444066;1;1;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;3159,8956672073
5444068;1;1;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;05;4;05;2969,05306885525
5444070;1;1;1;80;05;1;4; ;2; ; ;4; ;2; ;2; ;2; ;908526;2;1;05;2;05;3830,701953834
5444072;1;1;1;80;05;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;4;05;2530,14742731078
5444074;1;4;1;80;05;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05; ;05;1027,10115045829
5444075;1;1;1;80;05;1;4; ;2; ; ;4; ;2; ;2; ;1;24;908354;2;1;05;4;05;1371,52213478951
5444075;1;2;1;80;05;1;4; ;2; ; ;2; ;2; ;2; ;2; ;908536;2;1;05;1,4;05;1371,52213478951
5444076;1;4;1;80;05;1;4; ;2; ; ;2; ;2; ;2; ;1;24;908526;2;1;05;4;05;905,309556204483
5444077;1;1;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;876,891698420052
5444078;1;1;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;05;3;05;1053,29855573577
5444085;1;1;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;05;4;05;3159,8956672073
5444088;1;1;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;05;4;05;1447,50953950248
5444088;1;2;1;80;05;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;4;05;1447,50953950248
5444088;1;7;1;80;05;1;8; ;2; ; ;2; ;2; ;2; ;2; ;700000;2;1;05;3;05;1447,50953950248
5444089;1;2;1;80;05;1;8; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;05;1,4;05;1205,22513460645
5444091;1;1;1;80;05;1;7; ;2; ; ;9; ;2; ;2; ;1;48;908526;2;1;05;2;05;1563,30212669842
5444095;1;2;1;80;05;1;9;POR LA PANDEMIA;2; ; ;12;POR LA PANDEMIA;2; ;2; ; ; ; ;2;1;05;1,2;05;1160,29324450956
5444096;1;1;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;1076,84121501289
5444097;1;2;1;80;05;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;4;05;1167,60506188188
5444098;1;1;1;80;05;1;4; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;05;3;05;1400,31430127595
5444099;1;1;1;80;05;1;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;05;4;05;1053,29855573577
5444102;1;2;1;80;05;1;1; ;2; ; ;9; ;2; ;2; ;1;24;908526;2;1;05;4;05;1312,21982338024
5444107;1;1;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;05;4;05;312,939592951425
5444109;1;2;1;80;05;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05; ;05;391,134343657705
5444110;1;4;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;363,581785908319
5444111;1;1;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;05;4;05;356,764582024366
5444113;1;1;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;2306,43971689713
5444114;1;2;1;80;05;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;4;05;1019,78933308597
5444114;1;3;1;80;05;2; ; ; ;1;2;2; ;2; ;2; ;1;48;908526;2;1;05; ;05;1019,78933308597
5444115;1;2;1;80;05;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;05;4;05;916,680048185958
5444117;1;1;1;80;05;1;3; ;2; ; ;9; ;2; ;2; ;2; ;98;2;1;05;3;05;1371,52213478951
5444117;1;3;1;80;05;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05; ;05;1371,52213478951
5444118;1;1;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;1060,61037310808
5444119;1;1;1;80;05;1;4; ;2; ; ;4; ;3; ;2; ; ; ; ;3;1;05;3;05;1406,86177021575
5444119;1;2;1;80;05;1;9;PANDEMIA;2; ; ;12;PANDEMIA;2; ;2; ; ; ;908526;2;1;05;2;05;1406,86177021575
5444121;1;2;1;80;05;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;4;05;1726,77246828595
5444125;1;2;1;80;05;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;05;4;05;700,48484110434
5444125;1;3;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;700,48484110434
5444129;1;2;1;80;05;2; ; ; ;1;2;1; ;2; ;2; ;1;48;908526;2;1;05; ;05;2195,63027921993
5444130;1;2;1;80;05;1;9;POR VIAJE;2; ; ;12;POR LA PANDEMIA;2; ;2; ;1;48;908526;2;1;05;2;05;989,684356285085
5444140;1;2;1;80;05;1;3; ;1; ;2;12;LA PANDEMIA;2; ;2; ;2; ;2000000;2;1;05;3;05;1012,47751571366
5444144;1;1;1;80;05;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;4;05;1053,29855573577
5444146;1;1;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;05;2;05;1336,70010182527
5444146;1;2;1;80;05;1;3; ;2; ; ;9; ;2; ;2; ;2; ;1200000;2;1;05;3;05;1336,70010182527
5444147;1;3;1;80;05;2; ; ; ;1;1;2; ;2; ;2; ;2; ;98;2;1;05; ;05;1058,92325409162
5444147;1;4;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;1058,92325409162
5444148;1;3;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;2307,81197574387
5444148;1;5;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;2307,81197574387
5444148;2;2;2;80;05;1;3; ;2; ; ;1; ;2; ;2; ;1;48;908526;2;1;05;1,4;05;2307,81197574387
5444151;1;1;1;80;05;1;5; ;1; ;4;10; ;3; ;2; ; ; ; ;3;1;05;4;05;1223,90744396024
5444151;1;2;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;1223,90744396024
5444153;1;4;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;1752,25546001179
5444154;1;1;1;80;05;1;3; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;05;4;05;899,684857848624
5444154;1;2;1;80;05;1;8; ;2; ; ;11; ;2; ;2; ; ; ; ;2;1;05;3;05;899,684857848624
5444155;1;3;1;80;05;1;7; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;2;05;1051,61143671931
5444156;1;2;1;80;05;1;8; ;2; ; ;2; ;2; ;2; ;1;48;908526;2;1;05;1,3;05;1115,22563616999
5444158;1;3;1;80;05;1;4; ;2; ; ;4; ;3; ;2; ; ; ; ;3;1;05;4;05;943,065347171738
5444158;1;4;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;943,065347171738
5444159;1;1;1;80;05;1;6; ;2; ; ;9; ;1;1;2; ; ; ; ;1;1;05;1,3;05;1012,47751571366
5444159;1;2;1;80;05;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;4;05;1012,47751571366
5444167;1;3;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;1058,92325409162
5444167;1;4;1;80;05;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05; ;05;1058,92325409162
5444173;1;2;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;1205,22513460645
5444175;1;3;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ;1;48;908526;2;1;05; ;05;1414,17358758806
5444177;1;2;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;1129,84927091462
5444177;1;3;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ;1;48;908526;2;1;05; ;05;1129,84927091462
5444177;1;4;1;80;05;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05; ;05;1129,84927091462
5444178;1;1;1;80;05;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;05;4;05;1247,45010323737
5444178;1;2;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;1247,45010323737
5444179;1;3;1;80;05;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05; ;05;1019,78933308597
5444181;1;1;1;80;05;1;9;LA PANDEMIA;2; ; ;12;POR PANDEMIA;2; ;2; ; ; ; ;2;1;05;2;05;1006,67954662242
5444181;1;2;1;80;05;1;6; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;05;4;05;1006,67954662242
5444182;1;1;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;05;4;05;1400,31430127595
5444186;1;2;1;80;05;1;3; ;2; ; ;4; ;2; ;2; ;2; ;908526;2;1;05;4;05;1319,53164075256
5444186;1;5;1;80;05;2; ; ; ;1;1;6; ;2; ;2; ;1;4;500000;2;1;05; ;05;1319,53164075256
5444187;1;1;1;80;05;1;4; ;2; ; ;4; ;2; ;2; ;2; ;1300000;2;1;05;4;05;1166,0912136008
5444188;1;3;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;1051,61143671931
5444189;1;1;1;80;05;1;9;DESEABA DESCANSAR;2; ; ;8; ;2; ;1;250000; ; ; ;2;1;05;4;05;1029,47270605099
5444189;1;2;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;1029,47270605099
5444190;1;3;1;80;05;1;3; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;05;4;05;843,382475770262
5444192;1;1;1;80;05;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;05;4;05;1070,2937460731
5444193;1;2;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;1173,40303097312
5444194;1;1;1;80;05;1;7; ;2; ; ;12;SE DEDICO DEL LLENO AL DEPORTE;3; ;2; ;2; ;1000000;3;1;05;4;05;858,863817826515
5444197;1;2;1;80;05;2; ; ; ;1;4;5; ;2; ;2; ; ; ; ;2;1;05; ;05;1197,71003868277
5444197;1;4;1;80;05;1;2; ;2; ; ;2; ;2; ;2; ;1;24;908526;2;1;05;2;05;1197,71003868277
5444197;1;5;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;1197,71003868277
5444198;1;2;1;80;05;1;3; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;05;4;05;1070,2937460731
5444199;1;1;1;80;05;1;6; ;2; ; ;11; ;2; ;2; ; ; ; ;2;1;05;4;05;1720,22499934616
5444200;1;1;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;899,684857848624
5444202;1;1;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;05;4;05;1053,29855573577
5444204;1;1;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;05;4;05;1053,29855573577
5444206;1;2;1;80;05;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;4;05;1190,39822131045
5444206;1;4;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;1190,39822131045
5444214;1;2;1;80;05;1;7; ;2; ; ;1; ;2; ;2; ;1;48;908000;2;1;05;2;05;1485,12961222705
5444214;1;3;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ;1;24;450000;2;1;05; ;05;1485,12961222705
5444214;1;4;1;80;05;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05; ;05;1485,12961222705
5444216;1;1;1;80;05;1;9;POR LA EDAD;2; ; ;8; ;2; ;2; ; ; ; ;2;1;05;4;05;1223,90744396024
5444216;1;2;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;1223,90744396024
5444219;1;2;1;80;05;2; ; ; ;1;2;1; ;2; ;2; ;2; ;908526;2;1;05; ;05;1283,49297661775
5444219;1;3;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;1283,49297661775
5444219;1;4;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05; ;05;1283,49297661775
5444220;1;2;1;80;05;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;3;05;1343,24757076507
5444221;1;4;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;05;4;05;1155,98135646815
5444222;1;4;1;80;05;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05; ;05;1058,92325409162
5444223;1;1;1;80;05;1;9;PANDEMIA;2; ; ;12;PANDEMIA;1; ;2; ; ; ; ;2;1;05;2;05;1223,90744396024
5444223;1;2;1;80;05;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;4;05;1223,90744396024
5444225;1;1;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;05;4;05;1053,29855573577
5444227;1;1;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;05;4;05;1390,20444414331
5444227;1;2;1;80;05;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;4;05;1390,20444414331
5444228;1;1;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;05;4;05;1060,61037310808
5444228;1;2;1;80;05;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05; ;05;1060,61037310808
5444229;1;1;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;05;4;05;1223,90744396024
5444230;1;3;1;80;05;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05; ;05;1212,53695197877
5444231;1;1;1;80;05;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;05;4;05;1741,5320777249
5444231;1;2;1;80;05;1;4; ;2; ; ;4; ;1; ;2; ; ; ; ;2;1;05;4;05;1741,5320777249
