DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6083;P6083S1;P6081;P6081S1;P6080;P6080S1;P6070;P6071;P6071S1;P3147S1;P3147S2;P3147S3;P3147S4;P3147S5;P3147S6;P3147S7;P3147S8;P3147S9;P3147S10;P3147S10A1;P3147S11;P3246;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;AREA;ESC;MES;DPTO;fex_c_2011
5570718;1;1;1;10;1;1;8;1961;60;1;3;;3;;6;;2;1;2;;;;;;;;;;;;1;2;1;;;1;3;113565;2;1;2;;6;5;4;;05;16;10;05;1180.58449
5570718;1;2;1;10;2;2;9;1963;58;2;3;;3;;6;;2;1;1;;;;;;;;;1;;;;;1;;;1;2;145364;2;1;2;;6;5;4;;05;16;10;05;1180.58449
5570719;1;1;1;10;1;2;3;1992;29;1;2;;2;;6;;1;1;2;;;;1;;;;;;;;;2;1;;;1;1;72000;2;1;2;;6;5;4;;05;16;10;05;1447.3861566
5570719;1;2;1;10;2;1;5;1983;38;2;2;;2;;6;;1;1;1;;;;;;;;;;;;1;;1;;;1;1;36341;2;1;2;;6;5;4;;05;16;10;05;1447.3861566
5570719;1;3;1;10;3;1;10;2013;8;3;1;1;2;;6;;;;;;;;;;;;;;;;;;1;;;1;5;;2;1;1;2;3;1;;;05;1;10;05;1447.3861566
5570719;1;4;1;10;4;2;4;2047;74;5;3;;3;;6;;6;;;;;;;;;;;;;;1;;1;;;1;3;113565;2;1;2;;5;11;2;;05;11;10;05;1447.3861566
5570720;1;1;1;10;1;1;5;1960;61;1;3;;3;;6;;3;1;2;1;;1;1;;;;;;;;;2;1;;;1;5;;2;1;2;;6;5;4;;05;16;10;05;1196.7236319
5570720;1;2;1;10;2;2;1;1962;59;2;3;;3;;6;;3;1;1;;;;;;;;;;;;1;;1;;;1;3;113565;2;1;2;;6;2;3;;05;13;10;05;1196.7236319
5570720;1;3;1;10;3;2;9;1985;36;3;1;2;1;1;6;;6;;;;;;1;;;;;;;;;;1;;;1;1;120000;2;1;2;;6;8;5;;05;19;10;05;1196.7236319
5570720;1;4;1;10;4;1;12;1993;27;3;1;2;1;1;6;;6;;;;;;;;;;1;;;;;;1;;;1;1;106000;2;1;2;;6;5;4;;05;16;10;05;1196.7236319
5570720;1;5;1;10;5;1;10;1998;23;3;1;2;1;1;6;;6;;;;1;;;;;;1;1;;;;;1;;;1;5;;2;1;1;1;6;3;2;2;05;14;10;05;1196.7236319
5570721;1;1;1;10;1;1;5;1954;67;1;3;;3;;6;;6;;;;;;;;;;;;;;1;2;1;;;1;2;98;2;1;2;;6;6;3;;05;17;10;05;1170.4997021
5570721;1;2;1;10;2;2;2;1999;22;3;2;;1;1;6;;6;;;;;;;;;;;;;;1;;1;;;1;5;;2;1;2;;6;1;2;2;05;12;10;05;1170.4997021
5570721;1;3;1;10;3;1;9;2000;21;3;2;;1;1;6;;6;;;1;;;;;;;1;;;;;;1;;;1;5;;2;1;1;2;6;0;2;2;05;11;10;05;1170.4997021
5570722;1;1;1;10;2;2;9;2040;81;1;3;;3;;6;;5;;;;;;;;;;;1;;;;2;1;;;1;2;72682;2;1;2;;3;5;;;05;5;10;05;955.07688357
5570722;1;2;1;10;2;2;12;1965;55;3;1;1;3;;6;;4;;;;;1;;;;1;;1;;;;;1;;;1;5;;2;1;2;;5;11;2;;05;11;10;05;955.07688357
5570723;1;1;1;10;1;1;4;1976;45;1;2;;3;;6;;3;1;2;;;;;;;;;;;;1;2;1;;;1;1;104000;2;1;2;;6;3;3;;05;14;10;05;985.02206633
5570723;1;2;1;10;2;2;7;1980;41;2;2;;2;;6;;3;1;1;1;;;;;;;;;;;;;1;;;1;1;120000;2;1;2;;6;5;4;;05;16;10;05;985.02206633
