Directorio;Secuencia_p;Orden;Hogar;Regis;P6016;P6020;P6030;P6030s1;P6030s3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210s1;P6220;Clase;Esc;Mes;Dpto;Fex_c_2011
3144124;1;1;1;10;1;1;1;8;1983;29;1;2;1; ; ;1;1;23600;2;1;2; ;4;6; ;2;6;02;63;5005,84988466882
3144124;1;2;1;10;2;2;1;10;1984;28;2;2;2;2; ; ; ; ;2;1;2; ;3;3; ;2;3;02;63;5005,84988466882
3144124;1;3;1;10;2;1;1;10;2003;9;3; ;2;2; ; ; ; ;2;1;1;1;3;4; ;2;4;02;63;5005,84988466882
3144124;1;4;1;10;2;1;1;11;2004;8;3; ;2;2; ; ; ; ;2;1;1;1;3;2; ;2;2;02;63;5005,84988466882
3144125;1;1;1;10;1;1;1;8;1962;50;1;3;1; ; ;1;3;73700;2;1;2; ;4;6; ;2;6;02;63;3521,94919575317
3144125;1;2;1;10;2;2;1;5;1973;39;2;3;1; ; ;1;5; ;2;1;2; ;3;5; ;2;5;02;63;3521,94919575317
3144125;1;3;1;10;3;1;1;8;1992;20;3;6;1; ; ;1;5; ;2;1;1;1;6;1;2;2;12;02;63;3521,94919575317
3144125;1;4;1;10;4;1;1;6;1994;18;3;6;2;1;7; ; ; ;2;1;1;1;6;1;2;2;12;02;63;3521,94919575317
3144125;1;5;1;10;5;1;1;4;1969;43;5;6;2;1;3; ; ; ;2;1;2; ;4;7; ;2;7;02;63;3521,94919575317
3144126;1;1;1;10;1;2;1;11;1957;55;1;5;1; ; ;1;3;73700;2;1;2; ;3;5; ;2;5;02;63;1866,17680527397
3144126;1;2;1;10;1;2;1;10;2004;8;4; ;1; ; ;1;5; ;2;1;1;2;3;2; ;2;2;02;63;1866,17680527397
3144126;1;3;1;10;1;2;1;6;2006;6;4; ;1; ; ;1;5; ;2;1;1;2;3;1; ;2;1;02;63;1866,17680527397
3144126;1;4;1;10;4;2;1;5;1959;53;5;4;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;02;63;1866,17680527397
3144126;1;5;1;10;5;2;1;8;1971;41;5;6;2;2; ; ; ; ;2;1;2; ;3;4; ;2;4;02;63;1866,17680527397
3144126;1;6;1;10;5;2;1;11;2010;2;5; ;2;2; ; ; ; ;2; ; ; ; ; ; ;2; ;02;63;1866,17680527397
3144141;1;1;1;10;1;2;1;8;1955;57;1;4;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;02;63;2324,32520217715
3144141;1;2;1;10;2;2;1;12;1995;17;3;6;1; ; ;3; ; ;2;1;1;1;4;8; ;2;8;02;63;2324,32520217715
3144141;1;3;1;10;1;2;1;7;1981;31;5;6;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;02;63;2324,32520217715
3144141;1;4;1;10;1;2;1;2;1998;15;5;6;1; ; ;3; ; ;2;2;1;2;3;5; ;2;5;02;63;2324,32520217715
3144142;1;1;1;10;1;1;1;4;1967;45;1;2;1; ; ;3; ; ;2;1;2; ;4;8; ;2;8;02;63;3781,39480969705
3144142;1;2;1;10;2;2;1;8;1990;22;2;2;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;02;63;3781,39480969705
3144143;1;1;1;10;1;1;1;4;1965;47;1;3;1; ; ;1;1;23580;2;1;2; ;4;8; ;2;8;02;63;2933,9471637818
3144143;1;2;1;10;2;2;1;11;1970;42;2;3;1; ; ;1;5; ;2;1;2; ;4;9; ;2;9;02;63;2933,9471637818
